year,quarter,price_per_tonne_gbp,source
2010,1,140.21,synthetic_AHDB_calibrated
2010,2,124.88,synthetic_AHDB_calibrated
2010,3,132.92,synthetic_AHDB_calibrated
2010,4,139.21,synthetic_AHDB_calibrated
2011,1,116.9,synthetic_AHDB_calibrated
2011,2,123.61,synthetic_AHDB_calibrated
2011,3,142.84,synthetic_AHDB_calibrated
2011,4,139.54,synthetic_AHDB_calibrated
2012,1,119.23,synthetic_AHDB_calibrated
2012,2,131.42,synthetic_AHDB_calibrated
2012,3,130.68,synthetic_AHDB_calibrated
2012,4,118.19,synthetic_AHDB_calibrated
2013,1,103.63,synthetic_AHDB_calibrated
2013,2,110.59,synthetic_AHDB_calibrated
2013,3,102.07,synthetic_AHDB_calibrated
2013,4,94.25,synthetic_AHDB_calibrated
2014,1,96.62,synthetic_AHDB_calibrated
2014,2,96.47,synthetic_AHDB_calibrated
2014,3,111.69,synthetic_AHDB_calibrated
2014,4,98.38,synthetic_AHDB_calibrated
2015,1,104.83,synthetic_AHDB_calibrated
2015,2,107.76,synthetic_AHDB_calibrated
2015,3,115.33,synthetic_AHDB_calibrated
2015,4,133.78,synthetic_AHDB_calibrated
2016,1,134.72,synthetic_AHDB_calibrated
2016,2,136.94,synthetic_AHDB_calibrated
2016,3,158.67,synthetic_AHDB_calibrated
2016,4,155.36,synthetic_AHDB_calibrated
2017,1,165.21,synthetic_AHDB_calibrated
2017,2,178.94,synthetic_AHDB_calibrated
2017,3,213.39,synthetic_AHDB_calibrated
2017,4,207.63,synthetic_AHDB_calibrated
2018,1,251.17,synthetic_AHDB_calibrated
2018,2,208.68,synthetic_AHDB_calibrated
2018,3,246.3,synthetic_AHDB_calibrated
2018,4,224.24,synthetic_AHDB_calibrated
2019,1,266.91,synthetic_AHDB_calibrated
2019,2,259.74,synthetic_AHDB_calibrated
2019,3,237.07,synthetic_AHDB_calibrated
2019,4,206.21,synthetic_AHDB_calibrated
2020,1,186.88,synthetic_AHDB_calibrated
2020,2,176.33,synthetic_AHDB_calibrated
2020,3,149.35,synthetic_AHDB_calibrated
2020,4,143.11,synthetic_AHDB_calibrated
2021,1,155.24,synthetic_AHDB_calibrated
2021,2,140.92,synthetic_AHDB_calibrated
2021,3,129.0,synthetic_AHDB_calibrated
2021,4,117.35,synthetic_AHDB_calibrated
2022,1,131.92,synthetic_AHDB_calibrated
2022,2,133.95,synthetic_AHDB_calibrated
2022,3,145.47,synthetic_AHDB_calibrated
2022,4,122.38,synthetic_AHDB_calibrated
2023,1,134.38,synthetic_AHDB_calibrated
2023,2,151.94,synthetic_AHDB_calibrated
2023,3,182.65,synthetic_AHDB_calibrated
2023,4,150.02,synthetic_AHDB_calibrated
