year,quarter,rain_mm,temp_c,rainfall_index,temperature_index,regime
2000,1,97.6,6.21,0.6021,0.579,dry
2000,2,235.9,11.94,1.4554,1.1133,wet
2000,3,197.1,16.02,1.216,1.4937,normal
2000,4,283.0,7.83,1.7459,0.7301,wet
2001,1,212.2,4.33,1.3092,0.4037,normal
2001,2,162.7,11.43,1.0038,1.0657,normal
2001,3,222.6,16.24,1.3733,1.5142,wet
2001,4,134.4,8.22,0.8292,0.7664,normal
2002,1,126.4,6.94,0.7798,0.6471,normal
2002,2,137.3,12.17,0.8471,1.1347,normal
2002,3,135.0,16.29,0.8329,1.5189,normal
2002,4,249.7,8.36,1.5405,0.7795,wet
2003,1,105.9,5.18,0.6533,0.483,dry
2003,2,179.8,13.02,1.1093,1.214,normal
2003,3,84.1,17.58,0.5188,1.6392,dry
2003,4,160.3,7.67,0.989,0.7152,normal
2004,1,154.8,5.65,0.955,0.5268,normal
2004,2,164.9,12.5,1.0173,1.1655,normal
2004,3,220.7,16.67,1.3616,1.5543,wet
2004,4,122.3,8.06,0.7545,0.7515,normal
2005,1,88.8,5.69,0.5478,0.5305,dry
2005,2,148.2,12.39,0.9143,1.1553,normal
2005,3,170.6,16.48,1.0525,1.5366,normal
2005,4,105.3,8.24,0.6496,0.7683,dry
2006,1,96.9,4.23,0.5978,0.3944,dry
2006,2,176.7,12.39,1.0901,1.1553,normal
2006,3,186.1,18.15,1.1481,1.6923,normal
2006,4,152.6,9.66,0.9415,0.9007,normal
2007,1,158.1,6.82,0.9754,0.6359,normal
2007,2,239.9,12.95,1.48,1.2075,wet
2007,3,153.6,15.44,0.9476,1.4396,normal
2007,4,129.8,7.83,0.8008,0.7301,normal
2008,1,157.3,6.02,0.9705,0.5613,normal
2008,2,181.3,12.1,1.1185,1.1282,normal
2008,3,211.7,15.94,1.3061,1.4863,normal
2008,4,141.1,7.05,0.8705,0.6573,normal
2009,1,130.8,4.39,0.807,0.4093,normal
2009,2,125.4,12.58,0.7736,1.173,normal
2009,3,148.6,16.49,0.9168,1.5375,normal
2009,4,161.0,8.03,0.9933,0.7487,normal
2010,1,145.5,3.47,0.8977,0.3235,normal
2010,2,90.3,11.85,0.5571,1.1049,dry
2010,3,203.5,16.31,1.2555,1.5208,normal
2010,4,121.1,5.45,0.7471,0.5082,normal
2011,1,96.6,5.76,0.596,0.5371,dry
2011,2,83.2,13.36,0.5133,1.2457,dry
2011,3,139.4,15.91,0.86,1.4835,normal
2011,4,101.8,9.73,0.628,0.9072,dry
2012,1,82.0,5.71,0.5059,0.5324,dry
2012,2,297.5,11.11,1.8354,1.0359,wet
2012,3,232.8,15.62,1.4362,1.4564,wet
2012,4,247.5,7.25,1.5269,0.676,wet
2013,1,119.5,2.82,0.7372,0.2629,normal
2013,2,113.9,10.68,0.7027,0.9958,normal
2013,3,161.8,17.08,0.9982,1.5926,normal
2013,4,184.1,8.51,1.1358,0.7935,normal
2014,1,193.4,6.61,1.1932,0.6163,normal
2014,2,174.3,12.85,1.0753,1.1981,normal
2014,3,178.0,16.68,1.0982,1.5553,normal
2014,4,188.6,9.04,1.1636,0.8429,normal
2015,1,115.2,4.89,0.7107,0.4559,normal
2015,2,108.4,11.75,0.6688,1.0956,dry
2015,3,229.1,15.85,1.4134,1.4779,wet
2015,4,178.1,10.52,1.0988,0.9809,normal
2016,1,163.7,5.35,1.0099,0.4988,normal
2016,2,214.5,11.69,1.3233,1.09,normal
2016,3,129.4,17.88,0.7983,1.6671,normal
2016,4,89.8,8.07,0.554,0.7525,dry
2017,1,134.2,6.09,0.8279,0.5678,normal
2017,2,185.6,13.36,1.145,1.2457,normal
2017,3,205.0,16.06,1.2647,1.4975,normal
2017,4,127.5,8.33,0.7866,0.7767,normal
2018,1,176.0,4.4,1.0858,0.4103,normal
2018,2,160.7,13.46,0.9914,1.255,normal
2018,3,127.4,17.81,0.786,1.6606,normal
2018,4,133.7,8.99,0.8249,0.8382,normal
2019,1,111.7,6.25,0.6891,0.5828,dry
2019,2,167.0,12.04,1.0303,1.1226,normal
2019,3,205.8,17.48,1.2697,1.6299,normal
2019,4,262.6,7.89,1.6201,0.7357,wet
2020,1,162.9,6.73,1.005,0.6275,normal
2020,2,115.2,13.38,0.7107,1.2476,normal
2020,3,187.2,17.17,1.1549,1.6009,normal
2020,4,265.6,8.44,1.6386,0.787,wet
2021,1,164.9,5.08,1.0173,0.4737,normal
2021,2,174.1,11.18,1.0741,1.0424,normal
2021,3,157.9,16.96,0.9742,1.5814,normal
2021,4,165.1,8.99,1.0186,0.8382,normal
2022,1,128.0,6.48,0.7897,0.6042,normal
2022,2,115.8,13.02,0.7144,1.214,normal
2022,3,96.7,18.46,0.5966,1.7212,dry
2022,4,206.1,9.0,1.2715,0.8392,normal
2023,1,151.6,6.02,0.9353,0.5613,normal
2023,2,149.1,12.9,0.9199,1.2028,normal
2023,3,243.2,17.48,1.5004,1.6299,wet
2023,4,246.5,9.16,1.5208,0.8541,wet
