year,quarter,price_per_tonne_gbp,source
2010,1,189.44,synthetic_AHDB_calibrated
2010,2,224.3,synthetic_AHDB_calibrated
2010,3,231.58,synthetic_AHDB_calibrated
2010,4,211.82,synthetic_AHDB_calibrated
2011,1,194.83,synthetic_AHDB_calibrated
2011,2,178.35,synthetic_AHDB_calibrated
2011,3,155.54,synthetic_AHDB_calibrated
2011,4,130.62,synthetic_AHDB_calibrated
2012,1,128.3,synthetic_AHDB_calibrated
2012,2,121.73,synthetic_AHDB_calibrated
2012,3,120.47,synthetic_AHDB_calibrated
2012,4,117.42,synthetic_AHDB_calibrated
2013,1,100.3,synthetic_AHDB_calibrated
2013,2,111.66,synthetic_AHDB_calibrated
2013,3,132.27,synthetic_AHDB_calibrated
2013,4,127.72,synthetic_AHDB_calibrated
2014,1,124.82,synthetic_AHDB_calibrated
2014,2,103.72,synthetic_AHDB_calibrated
2014,3,107.02,synthetic_AHDB_calibrated
2014,4,87.87,synthetic_AHDB_calibrated
2015,1,73.27,synthetic_AHDB_calibrated
2015,2,64.83,synthetic_AHDB_calibrated
2015,3,56.23,synthetic_AHDB_calibrated
2015,4,48.21,synthetic_AHDB_calibrated
2016,1,54.17,synthetic_AHDB_calibrated
2016,2,58.07,synthetic_AHDB_calibrated
2016,3,59.11,synthetic_AHDB_calibrated
2016,4,57.09,synthetic_AHDB_calibrated
2017,1,63.98,synthetic_AHDB_calibrated
2017,2,53.19,synthetic_AHDB_calibrated
2017,3,43.19,synthetic_AHDB_calibrated
2017,4,51.28,synthetic_AHDB_calibrated
2018,1,60.59,synthetic_AHDB_calibrated
2018,2,65.26,synthetic_AHDB_calibrated
2018,3,75.87,synthetic_AHDB_calibrated
2018,4,67.64,synthetic_AHDB_calibrated
2019,1,75.43,synthetic_AHDB_calibrated
2019,2,90.05,synthetic_AHDB_calibrated
2019,3,105.54,synthetic_AHDB_calibrated
2019,4,124.2,synthetic_AHDB_calibrated
2020,1,121.35,synthetic_AHDB_calibrated
2020,2,122.86,synthetic_AHDB_calibrated
2020,3,119.3,synthetic_AHDB_calibrated
2020,4,108.17,synthetic_AHDB_calibrated
2021,1,94.42,synthetic_AHDB_calibrated
2021,2,89.15,synthetic_AHDB_calibrated
2021,3,75.74,synthetic_AHDB_calibrated
2021,4,91.99,synthetic_AHDB_calibrated
2022,1,78.09,synthetic_AHDB_calibrated
2022,2,92.6,synthetic_AHDB_calibrated
2022,3,96.47,synthetic_AHDB_calibrated
2022,4,98.88,synthetic_AHDB_calibrated
2023,1,113.36,synthetic_AHDB_calibrated
2023,2,103.69,synthetic_AHDB_calibrated
2023,3,108.97,synthetic_AHDB_calibrated
2023,4,104.15,synthetic_AHDB_calibrated
